Code,Partner,LDC and other,LDC and other Source,Income group,Income group Source,Development region,Development region Source,WTO Member,NetFoodImporting,World,FSR,FSR_EEU,FSR_EU,SVE_SmallVulnarableEconomies,RAM_RecentMembers,G33_friends,LowIncomeFoodDefC,NewGroupOF92,OldGroupOF103,,,,,,,,,,,
807,TFYR of Macedonia,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
764,Thailand,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
626,Timor-Leste,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
768,Togo,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
772,Tokelau,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
776,Tonga,ODCs,Manual,Lower middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
780,Trinidad and Tobago,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
788,Tunisia,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
792,Turkey,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
795,Turkmenistan,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,FSR,other FSR,FSR,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
796,Turks and Caicos Isds,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
798,Tuvalu,LDC,UN WESP,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
800,Uganda,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
804,Ukraine,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,FSR,other FSR,FSR,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
784,United Arab Emirates,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
826,United Kingdom,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
834,United Rep. of Tanzania,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
581,United States Minor Outlying Islands,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
858,Uruguay,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
849,US Misc. Pacific Isds,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
842,USA,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
860,Uzbekistan,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,FSR,other FSR,FSR,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
548,Vanuatu,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
862,Venezuela,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
704,Viet Nam,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
876,Wallis and Futuna Isds,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
879,"Western Asia, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
732,Western Sahara,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
0,World,0,Manual,0,WB WITS,0,Manual,World,0,0,World,World,World,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
887,Yemen,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
894,Zambia,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
716,Zimbabwe,ODCs,Manual,Low-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
290,"Northern Africa, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
